account,duration,credit_history,purpose,amount,savings,employment,installment_rate,guarantors,residence,age,credits_number,job,maintenance_people,telephone,foreign,real_estate,life_insurance,car,housing_rent,sex,target
0,18,3,business,2169,1,2,4,1,2,28,1,2,1,1,yes,0,0,1,0,female,0
-1,42,2,television,3965,1,1,4,1,3,34,1,2,1,0,yes,0,0,1,0,male,0
0,24,2,business,4591,4,2,2,1,3,54,3,3,1,1,yes,0,1,0,0,male,0
1,8,2,furniture,1237,1,2,3,1,4,24,1,2,1,0,yes,1,0,0,0,female,0
1,36,3,car_new,2225,1,4,4,1,4,57,2,2,1,1,yes,0,0,0,0,male,0
1,9,2,television,2118,1,2,2,1,2,37,1,1,2,0,yes,1,0,0,0,male,1
1,9,1,car_used,5129,1,4,2,1,4,74,1,3,2,1,yes,0,0,0,0,female,0
2,18,2,furniture,2864,1,2,2,1,1,34,1,1,2,0,yes,1,0,0,0,male,0
-1,24,2,furniture,3345,1,4,4,1,2,39,1,3,1,1,yes,0,1,0,1,male,0
-1,12,1,television,626,1,2,4,1,4,24,1,1,1,0,yes,1,0,0,0,female,0
1,13,2,television,2101,1,1,2,0,4,23,1,1,1,0,yes,0,1,0,0,female,1
1,48,2,television,5951,1,2,2,1,2,22,1,2,1,0,yes,1,0,0,0,female,0
1,12,2,furniture,3017,1,1,3,1,1,34,1,3,1,0,yes,1,0,0,1,female,1
-1,15,2,business,806,1,2,4,1,4,22,1,1,1,0,yes,0,1,0,0,female,1
-1,18,2,car_used,7511,0,4,1,1,4,51,1,2,2,1,yes,0,1,0,0,male,0
1,12,4,television,3573,1,2,1,1,1,23,1,1,1,0,yes,1,0,0,0,female,1
0,30,4,car_used,7596,0,4,1,1,4,63,2,2,1,0,yes,0,0,1,0,male,1
-1,24,2,car_new,915,0,4,4,1,2,29,1,2,1,0,yes,0,0,1,0,female,0
1,12,2,business,841,2,3,2,1,4,23,1,1,1,0,yes,1,0,0,1,female,1
0,15,2,car_used,1300,0,4,4,1,4,45,1,2,2,0,yes,0,0,0,0,male,1
1,18,2,furniture,1924,0,1,4,1,3,27,1,2,1,0,yes,1,0,0,1,female,0
1,12,2,repairs,639,1,2,4,1,2,30,1,2,1,0,yes,0,0,1,0,male,0
1,48,3,education,6224,1,4,4,1,4,50,1,2,1,0,yes,0,0,0,0,male,0
1,12,2,business,1037,2,3,3,1,4,39,1,1,1,0,yes,1,0,0,0,male,1
1,48,0,others,18424,1,2,1,1,2,32,1,3,1,1,no,0,1,0,0,female,0
-1,12,1,car_new,697,1,1,4,1,2,46,2,2,1,1,yes,0,0,1,0,male,0
2,12,4,car_new,1480,3,0,2,1,4,66,3,0,1,0,yes,0,0,0,0,male,1
-1,18,2,television,3190,1,2,2,1,2,24,1,2,1,0,yes,1,0,0,0,female,0
1,45,2,television,3031,2,2,4,0,4,21,1,2,1,0,yes,0,1,0,1,male,0
0,18,4,television,2404,1,2,2,1,2,26,2,2,1,0,yes,0,0,1,0,female,1
0,24,4,television,5103,1,1,3,1,3,47,3,2,1,1,yes,0,0,0,0,female,1
0,10,2,car_new,1309,0,2,4,0,4,27,1,1,1,0,yes,0,1,0,0,male,0
1,48,2,television,3060,1,3,4,1,4,28,2,2,1,0,yes,1,0,0,0,male,0
0,21,2,car_used,2476,0,4,4,1,4,46,1,3,1,1,yes,1,0,0,0,male,1
-1,8,4,others,1164,1,4,3,1,4,51,2,3,2,1,yes,0,0,0,0,male,1
1,18,4,furniture,6361,1,4,2,1,1,41,1,2,1,1,yes,0,0,0,0,male,1
0,24,2,television,1533,1,1,4,1,3,38,1,2,1,1,yes,0,0,1,0,female,1
1,9,4,education,1501,1,4,2,1,3,34,2,3,1,1,yes,0,0,1,0,female,0
0,54,0,car_used,9436,0,2,2,1,2,39,1,1,2,0,yes,0,1,0,0,male,1
0,18,2,television,1473,1,1,3,1,4,39,1,2,1,1,yes,1,0,0,0,female,1
-1,12,1,television,2149,1,2,4,1,1,29,1,2,1,0,yes,0,0,0,0,male,0
1,24,2,car_used,11560,1,2,1,1,4,23,2,3,1,0,yes,0,0,1,1,female,0
-1,9,2,car_new,1422,1,1,3,1,2,27,1,3,1,1,yes,0,0,0,0,male,0
-1,15,2,car_new,3959,1,2,3,1,2,29,1,2,1,1,yes,0,1,0,0,female,0
-1,21,1,car_new,1647,0,2,4,1,2,40,2,1,2,0,yes,0,1,0,0,male,0
1,60,3,television,7418,0,2,1,1,1,27,1,1,1,0,yes,1,0,0,0,male,1
-1,6,2,education,448,1,1,4,1,4,23,1,2,1,0,yes,0,1,0,0,female,0
1,24,2,car_used,4113,3,1,3,1,4,28,1,2,1,0,yes,0,0,1,1,female,0
1,24,2,others,11328,1,2,2,0,3,29,2,3,1,1,yes,0,0,1,0,male,0
-1,12,2,car_new,2579,1,1,4,1,1,33,1,1,2,0,yes,1,0,0,0,male,0
0,18,2,television,433,1,0,3,0,4,22,1,2,1,0,yes,1,0,0,1,female,0
-1,24,2,business,6568,1,2,2,1,2,21,1,1,1,0,yes,0,0,1,0,female,1
-1,6,1,education,1198,1,4,4,1,4,35,1,2,1,0,yes,0,0,0,0,female,0
0,15,2,car_used,3812,2,1,1,1,4,23,1,2,1,1,yes,0,0,1,0,female,1
0,24,4,television,1851,1,3,4,0,2,33,2,2,1,1,yes,0,0,1,0,female,1
0,48,4,education,6110,1,2,1,1,3,31,1,2,1,1,yes,0,0,0,0,male,1
0,12,2,television,3059,4,3,2,1,4,61,1,1,1,0,yes,1,0,0,0,male,1
1,18,2,business,1941,4,2,4,1,2,35,1,1,1,1,yes,0,1,0,0,male,1
1,18,0,car_new,2278,2,1,3,1,3,28,2,2,1,0,yes,0,0,1,0,female,0
1,24,4,car_used,7758,4,4,2,1,4,29,1,2,1,0,yes,0,0,0,1,female,1
0,36,4,car_new,7855,1,2,4,1,2,25,2,2,1,1,yes,1,0,0,0,female,0
1,9,4,education,1136,4,4,4,1,3,32,2,2,2,0,yes,0,0,0,0,male,0
1,10,2,furniture,1521,1,2,4,1,2,31,1,1,1,0,yes,0,0,1,0,male,1
-1,12,2,furniture,1858,1,1,4,1,1,22,1,2,1,0,yes,0,0,1,1,female,1
0,18,2,car_new,2662,0,3,4,1,3,32,1,2,1,0,no,0,1,0,0,male,1
1,60,2,car_new,14027,1,3,4,1,2,27,1,3,1,1,yes,0,0,0,0,male,0
0,9,4,television,3074,0,2,1,1,2,33,2,2,2,0,yes,1,0,0,0,male,1
-1,6,2,domestic_appliances,343,1,1,4,1,1,27,1,2,1,0,yes,1,0,0,0,female,1
2,4,2,car_new,1494,0,1,1,1,2,29,1,1,2,0,no,1,0,0,0,male,1
0,24,4,car_used,2197,0,3,4,1,4,43,2,2,2,1,yes,0,0,1,0,male,1
0,24,4,car_new,1287,4,4,4,1,4,37,2,2,1,1,yes,1,0,0,0,female,1
-1,24,3,car_new,4870,1,2,3,1,4,53,2,2,2,0,yes,0,0,0,0,male,0
-1,12,2,car_new,1274,1,1,3,1,1,37,1,1,1,0,yes,1,0,0,0,female,0
-1,48,0,furniture,7119,1,2,3,1,4,53,2,2,2,0,yes,0,0,0,0,male,0
2,18,2,television,2100,1,2,4,0,2,37,1,2,1,0,yes,1,0,0,0,male,0
0,15,4,furniture,3343,1,2,4,1,2,28,1,2,1,1,yes,0,0,0,0,male,1
-1,36,2,car_used,5493,1,4,2,1,4,42,1,2,2,0,yes,0,0,0,0,male,1
0,9,2,furniture,1980,1,1,2,0,2,19,2,2,1,0,yes,0,0,1,1,female,0
-1,18,0,furniture,3114,1,1,1,1,4,26,1,2,1,0,yes,0,1,0,1,female,0
1,12,2,car_new,1318,4,4,4,1,4,54,1,2,1,1,yes,1,0,0,0,male,1
0,15,4,television,1459,1,2,4,1,2,43,1,1,1,0,yes,0,0,1,0,female,1
0,11,4,car_new,7228,1,2,1,1,4,39,2,1,1,0,yes,0,1,0,0,male,1
1,24,2,car_new,3512,2,3,2,1,3,38,2,2,1,1,yes,0,0,1,0,male,1
0,24,2,furniture,2835,3,4,3,1,4,53,1,2,1,0,yes,0,1,0,0,male,1
0,15,4,furniture,1520,0,4,4,1,4,63,1,2,1,0,yes,0,1,0,0,male,1
0,28,4,television,2743,1,4,4,1,2,29,2,2,1,0,yes,0,0,1,0,male,1
-1,12,2,domestic_appliances,741,2,0,4,1,3,22,1,2,1,0,yes,0,1,0,0,female,0
1,24,4,furniture,4736,1,1,2,1,4,25,1,1,1,0,yes,0,0,1,0,female,0
1,45,4,television,4746,1,1,4,1,2,25,2,1,1,0,yes,0,1,0,0,male,0
2,10,2,furniture,1275,1,1,4,1,2,23,1,2,1,0,yes,0,1,0,0,female,1
-1,24,2,furniture,3149,1,1,4,1,1,22,1,2,1,0,yes,0,0,0,0,male,1
0,18,2,furniture,2515,1,2,3,1,4,43,1,2,1,1,yes,1,0,0,0,male,1
-1,30,2,furniture,3108,1,1,2,1,4,31,1,1,1,0,yes,0,1,0,0,male,0
1,48,3,business,6681,0,2,4,1,4,38,1,2,2,1,yes,0,0,0,0,male,1
0,24,4,education,1927,0,2,3,1,2,33,2,2,1,1,yes,0,0,1,0,female,1
0,12,2,business,1076,1,2,2,1,2,26,1,2,1,1,no,1,0,0,0,female,1
1,24,2,television,3092,2,1,3,1,2,22,1,2,1,1,yes,0,0,1,1,female,0
-1,48,4,car_used,6331,1,4,4,1,4,46,2,2,1,1,yes,0,0,0,0,male,0
-1,12,0,repairs,1108,1,3,4,1,3,28,2,2,1,0,yes,1,0,0,0,male,0
0,24,2,television,3235,3,4,3,1,2,26,1,3,1,1,yes,0,0,1,0,male,1
0,6,0,television,426,1,4,4,1,4,39,1,1,1,0,yes,0,0,1,0,female,1
2,30,3,business,1908,1,4,4,1,4,66,1,3,1,1,yes,1,0,0,0,male,0
-1,24,2,furniture,3234,1,1,4,1,4,23,1,1,1,1,yes,1,0,0,1,female,0
-1,36,4,furniture,2348,1,2,3,1,2,46,2,2,1,1,yes,0,1,0,0,female,1
1,36,2,education,2273,1,3,3,1,1,32,2,2,2,0,yes,0,0,1,0,male,1
1,36,2,television,2671,2,2,4,0,4,50,1,2,1,0,yes,0,0,0,0,female,0
0,4,4,television,1503,1,3,2,1,1,42,2,1,2,0,yes,1,0,0,0,male,1
-1,24,2,television,1938,1,1,4,1,3,32,1,2,1,0,yes,0,1,0,0,male,0
-1,40,4,education,5998,1,2,4,1,3,27,1,2,1,1,yes,0,0,0,0,male,0
1,11,2,furniture,1577,4,1,4,1,1,20,1,2,1,0,yes,1,0,0,0,female,1
2,24,4,business,1275,4,2,2,1,4,36,2,2,1,1,yes,1,0,0,0,male,1
1,14,2,business,1410,3,4,1,1,2,35,1,2,1,1,yes,1,0,0,0,female,1
0,12,2,car_new,1386,3,2,2,1,2,26,1,2,1,0,yes,0,1,0,0,female,0
2,24,2,car_new,947,1,3,4,1,3,38,1,2,2,0,yes,0,0,0,0,male,0
-1,12,2,furniture,1289,1,2,4,0,1,21,1,1,1,0,yes,0,1,0,0,male,1
-1,36,2,car_new,1842,1,1,4,1,4,34,1,2,1,1,yes,0,0,1,0,female,0
0,12,2,television,1963,1,3,4,1,2,31,2,3,2,1,yes,0,0,1,1,male,1
1,48,2,car_new,8487,0,3,1,1,2,24,1,2,1,0,yes,0,0,1,0,female,1
0,12,4,car_new,1163,3,2,4,1,4,44,1,2,1,1,yes,1,0,0,0,male,1
2,15,2,education,392,1,1,4,1,4,23,1,2,1,1,yes,0,1,0,1,female,1
-1,18,1,car_new,1442,1,3,4,1,4,32,2,1,2,0,yes,0,0,0,0,male,0
-1,18,2,television,1882,1,2,4,1,4,25,2,2,1,0,yes,0,0,1,1,female,0
0,10,2,television,1924,1,2,1,1,4,38,1,2,1,1,no,0,1,0,0,male,1
0,15,2,education,4623,2,2,3,1,2,40,1,3,1,1,yes,0,1,0,0,male,0
-1,48,2,television,6758,1,2,3,1,2,31,1,2,1,1,yes,0,0,1,0,female,0
-1,18,2,furniture,2659,4,2,4,1,2,28,1,2,1,0,yes,0,0,1,0,male,1
-1,15,2,car_new,2511,1,0,1,1,4,23,1,2,1,0,yes,0,0,1,1,female,1
0,18,2,car_new,6761,0,2,2,1,4,68,2,2,1,0,yes,0,0,1,1,male,0
1,27,0,business,8318,1,4,2,1,4,42,2,3,1,1,yes,0,0,0,0,female,0
0,6,4,car_new,2080,3,2,1,1,2,24,1,2,1,0,yes,0,0,1,0,female,1
0,18,2,television,1453,1,1,3,1,1,26,1,2,1,0,yes,1,0,0,0,female,1
-1,20,2,furniture,2212,0,3,4,1,4,39,1,2,1,1,yes,0,0,1,0,male,1
0,12,4,television,797,0,4,4,1,3,33,1,1,2,0,yes,0,1,0,0,female,0
0,36,3,business,9572,1,1,1,1,1,28,2,2,1,0,yes,0,0,1,0,male,0
0,12,2,car_new,2133,0,4,4,1,4,52,1,3,1,1,yes,0,0,0,0,female,1
0,36,2,television,2299,3,4,4,1,4,39,1,2,1,0,yes,0,0,1,0,male,1
-1,18,4,furniture,2124,1,2,4,1,4,24,2,2,1,0,yes,1,0,0,1,female,0
0,24,4,car_new,2463,2,3,4,1,3,27,2,2,1,1,yes,0,1,0,0,female,1
-1,24,1,car_new,1193,1,0,1,0,4,29,2,0,1,0,yes,0,0,0,1,female,0
-1,24,2,car_used,2964,0,4,4,1,4,49,1,2,2,1,yes,0,0,0,0,male,1
2,15,2,business,2687,1,3,2,1,4,26,1,2,1,1,yes,0,1,0,1,male,1
1,30,3,television,1919,2,1,4,1,3,30,2,3,1,0,yes,0,0,0,0,male,0
-1,12,4,car_new,691,1,4,4,1,3,35,2,2,1,0,yes,0,1,0,0,male,0
0,12,4,television,1655,1,4,2,1,4,63,2,1,1,1,yes,1,0,0,0,male,1
-1,33,4,furniture,4281,3,2,1,1,4,23,2,2,1,0,yes,0,0,1,0,female,0
-1,36,4,education,8065,1,2,3,1,2,25,2,3,1,1,yes,0,0,0,0,female,0
0,4,4,car_new,3380,1,3,1,1,1,37,1,2,2,0,yes,1,0,0,0,female,1
1,24,3,business,4712,0,2,4,1,2,37,2,3,1,1,yes,0,1,0,0,male,1
-1,12,2,education,684,1,2,4,1,4,40,1,1,2,0,yes,0,0,1,1,male,0
1,24,2,television,3758,3,0,1,1,4,23,1,0,1,0,yes,0,0,0,1,female,1
1,18,4,television,1795,1,4,3,0,4,48,2,1,1,1,yes,1,0,0,1,female,1
-1,24,4,car_new,1199,1,4,4,1,4,60,2,1,1,0,yes,0,0,1,0,male,0
1,12,2,television,625,1,1,4,0,1,26,1,1,1,0,yes,1,0,0,0,female,1
0,24,2,furniture,3062,3,4,4,1,3,32,1,2,1,1,yes,0,0,0,1,male,1
0,24,4,television,2611,1,4,4,0,3,46,2,2,1,0,yes,1,0,0,0,female,1
-1,24,2,furniture,4020,1,2,2,1,2,27,1,2,1,0,yes,0,0,1,0,male,1
1,48,3,others,7582,2,0,2,1,4,31,1,3,1,1,yes,0,0,0,0,male,1
-1,12,2,furniture,7865,1,4,4,1,4,53,1,3,1,1,yes,0,0,0,0,male,0
-1,24,2,car_new,4817,1,3,2,0,3,31,1,2,1,1,yes,0,1,0,0,male,0
-1,12,2,car_new,1168,1,2,4,1,3,27,1,1,1,0,yes,1,0,0,0,female,1
1,18,3,furniture,4297,1,4,4,1,3,40,1,3,1,1,yes,0,0,0,0,male,0
-1,12,0,car_new,1082,1,2,4,1,4,48,2,2,1,0,yes,0,0,1,0,male,0
1,24,2,car_new,1355,1,1,3,1,4,25,1,1,1,1,yes,0,0,1,0,female,0
-1,24,2,car_new,2303,1,4,4,0,1,45,1,2,1,0,yes,1,0,0,0,male,0
0,10,2,furniture,2210,1,2,2,1,2,25,1,1,1,0,yes,1,0,0,1,male,0
2,12,4,car_new,939,3,3,4,1,2,28,3,2,1,1,yes,1,0,0,0,female,0
-1,45,0,business,11816,1,4,2,1,4,29,2,2,1,0,yes,0,0,1,1,male,0
-1,9,2,car_new,654,1,2,4,1,3,28,1,1,1,0,yes,0,0,1,0,male,0
-1,24,1,others,1358,0,4,4,1,3,40,1,3,1,1,yes,0,0,1,0,male,0
1,12,2,television,6468,0,0,2,1,1,52,1,3,1,1,yes,0,0,0,0,male,0
0,48,2,television,10222,0,3,4,1,3,37,1,2,1,1,yes,0,0,1,0,male,1
1,24,2,car_used,2760,0,4,4,1,4,36,1,2,1,1,yes,0,0,0,0,male,1
-1,12,2,television,727,2,1,4,1,3,33,1,1,1,1,yes,0,0,0,0,female,0
0,27,2,repairs,5190,0,4,4,1,4,48,4,2,2,1,yes,0,1,0,0,male,1
0,27,2,car_new,2570,1,2,3,1,3,21,1,2,1,0,yes,1,0,0,1,female,0
-1,18,2,education,750,1,0,4,1,1,27,1,0,1,0,yes,1,0,0,0,female,0
1,20,0,car_used,6148,2,4,3,1,4,31,2,2,1,1,yes,0,0,1,0,female,1
-1,30,0,furniture,4583,1,2,2,0,2,32,2,2,1,0,yes,1,0,0,0,male,1
1,6,2,television,590,1,1,3,1,3,26,1,1,1,0,no,1,0,0,0,female,1
1,12,2,television,1331,1,1,2,1,1,22,1,2,1,0,yes,0,0,1,0,male,0
-1,18,2,television,2600,1,2,4,1,4,65,2,2,1,0,yes,0,0,0,0,male,0
2,18,2,car_new,1961,1,4,3,1,2,23,1,3,1,0,yes,0,0,1,0,female,1
0,6,4,car_new,250,4,2,2,1,2,41,2,1,1,0,yes,1,0,0,0,female,1
0,48,4,car_used,2751,0,4,4,1,3,38,2,2,2,1,yes,0,0,1,0,male,1
0,21,2,furniture,2241,1,4,4,1,2,50,2,2,1,0,yes,1,0,0,0,male,1
1,15,1,car_new,1264,2,2,2,1,2,25,1,2,1,0,yes,0,1,0,1,female,0
1,24,3,furniture,2064,1,0,3,1,2,34,1,3,1,1,yes,0,1,0,0,female,0
1,36,2,education,12612,2,2,1,1,4,47,1,2,2,1,yes,0,0,0,0,male,0
-1,36,2,furniture,5179,1,3,4,1,2,29,1,2,1,0,yes,0,1,0,0,male,0
1,18,4,car_new,884,1,4,4,1,4,36,1,2,2,1,yes,0,0,1,0,male,0
1,18,2,furniture,3001,1,3,2,1,4,40,1,2,1,0,yes,1,0,0,1,female,1
-1,60,3,business,6836,1,4,3,1,4,63,2,2,1,1,yes,0,0,0,0,male,0
-1,36,2,furniture,2712,1,4,2,1,2,41,1,2,2,0,yes,0,1,0,0,male,0
-1,24,2,others,1755,1,4,4,0,4,58,1,1,1,1,yes,1,0,0,0,female,1
-1,6,4,car_new,4716,0,1,1,1,3,44,2,1,2,0,yes,1,0,0,0,male,1
0,12,2,car_new,1884,1,4,4,1,4,39,1,3,1,1,yes,0,0,1,0,male,1
-1,36,1,furniture,2746,1,4,4,1,4,31,1,2,1,0,yes,0,0,1,0,male,0
-1,6,4,car_new,1361,1,1,2,1,4,40,1,1,2,0,no,1,0,0,0,male,1
0,24,2,television,5943,0,1,1,1,1,44,2,2,1,1,yes,0,0,1,0,female,0
0,10,2,car_used,2901,0,1,1,1,4,31,1,2,1,0,yes,1,0,0,1,female,1
-1,18,2,domestic_appliances,1217,1,2,4,1,3,47,1,1,1,1,yes,1,0,0,0,female,0
